jis_s,old_zip_code_s,zip_code_s,province_ruby_txt_ja,city_ruby_txt_ja,town_ruby_txt_ja,province_txt_ja,city_txt_ja,town_txt_ja
13103,"107  ",1076214,トウキョウト,ミナトク,アカサカミッドタウン・タワー(14カイ),東京都,港区,赤坂ミッドタウン・タワー（１４階）
13103,"107  ",1076215,トウキョウト,ミナトク,アカサカミッドタウン・タワー(15カイ),東京都,港区,赤坂ミッドタウン・タワー（１５階）
13103,"107  ",1076216,トウキョウト,ミナトク,アカサカミッドタウン・タワー(16カイ),東京都,港区,赤坂ミッドタウン・タワー（１６階）
13103,"107  ",1076217,トウキョウト,ミナトク,アカサカミッドタウン・タワー(17カイ),東京都,港区,赤坂ミッドタウン・タワー（１７階）
13103,"107  ",1076218,トウキョウト,ミナトク,アカサカミッドタウン・タワー(18カイ),東京都,港区,赤坂ミッドタウン・タワー（１８階）
13103,"107  ",1076219,トウキョウト,ミナトク,アカサカミッドタウン・タワー(19カイ),東京都,港区,赤坂ミッドタウン・タワー（１９階）
13103,"107  ",1076220,トウキョウト,ミナトク,アカサカミッドタウン・タワー(20カイ),東京都,港区,赤坂ミッドタウン・タワー（２０階）
13103,"107  ",1076221,トウキョウト,ミナトク,アカサカミッドタウン・タワー(21カイ),東京都,港区,赤坂ミッドタウン・タワー（２１階）
13103,"107  ",1076222,トウキョウト,ミナトク,アカサカミッドタウン・タワー(22カイ),東京都,港区,赤坂ミッドタウン・タワー（２２階）
13103,"107  ",1076223,トウキョウト,ミナトク,アカサカミッドタウン・タワー(23カイ),東京都,港区,赤坂ミッドタウン・タワー（２３階）
13103,"107  ",1076224,トウキョウト,ミナトク,アカサカミッドタウン・タワー(24カイ),東京都,港区,赤坂ミッドタウン・タワー（２４階）
13103,"107  ",1076225,トウキョウト,ミナトク,アカサカミッドタウン・タワー(25カイ),東京都,港区,赤坂ミッドタウン・タワー（２５階）
13103,"107  ",1076226,トウキョウト,ミナトク,アカサカミッドタウン・タワー(26カイ),東京都,港区,赤坂ミッドタウン・タワー（２６階）
13103,"107  ",1076227,トウキョウト,ミナトク,アカサカミッドタウン・タワー(27カイ),東京都,港区,赤坂ミッドタウン・タワー（２７階）
13103,"107  ",1076228,トウキョウト,ミナトク,アカサカミッドタウン・タワー(28カイ),東京都,港区,赤坂ミッドタウン・タワー（２８階）
13103,"107  ",1076229,トウキョウト,ミナトク,アカサカミッドタウン・タワー(29カイ),東京都,港区,赤坂ミッドタウン・タワー（２９階）
13103,"107  ",1076230,トウキョウト,ミナトク,アカサカミッドタウン・タワー(30カイ),東京都,港区,赤坂ミッドタウン・タワー（３０階）
13103,"107  ",1076231,トウキョウト,ミナトク,アカサカミッドタウン・タワー(31カイ),東京都,港区,赤坂ミッドタウン・タワー（３１階）
13103,"107  ",1076232,トウキョウト,ミナトク,アカサカミッドタウン・タワー(32カイ),東京都,港区,赤坂ミッドタウン・タワー（３２階）
13103,"107  ",1076233,トウキョウト,ミナトク,アカサカミッドタウン・タワー(33カイ),東京都,港区,赤坂ミッドタウン・タワー（３３階）
13103,"107  ",1076234,トウキョウト,ミナトク,アカサカミッドタウン・タワー(34カイ),東京都,港区,赤坂ミッドタウン・タワー（３４階）
